,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Talcahuano,-36.72,-73.12,48.2,87,0,2.1,CL,1597627040
1,Bathsheba,13.22,-59.52,80.6,88,75,9.3,BB,1597627040
2,Kavaratti,10.57,72.64,81.734,80,96,6.67,IN,1597627041
3,La Plata,-34.92,-57.95,62.00600000000003,30,0,1.79,AR,1597626772
4,Richards Bay,-28.78,32.04,59.61200000000006,61,10,3.36,ZA,1597627041
5,Avarua,-21.21,-159.78,75.2,64,55,2.6,CK,1597626941
6,Tasiilaq,65.61,-37.64,50.0,71,100,11.3,GL,1597627041
7,Guangyuan,32.44,105.82,69.99800000000002,91,94,1.34,CN,1597627042
8,Ko Samui,9.54,99.94,82.4,78,20,4.35,TH,1597627042
9,Atuona,-9.8,-139.03,78.27800000000008,76,0,7.12,PF,1597627042
10,Punta Arenas,-53.15,-70.92,33.8,86,100,3.1,CL,1597626931
11,Laas,46.62,10.7,57.2,100,75,1.5,IT,1597627043
12,Gigmoto,13.78,124.39,83.62400000000002,77,100,2.18,PH,1597627043
13,Ancud,-41.87,-73.82,44.99600000000005,86,97,1.0,CL,1597627043
14,Narsaq,60.92,-46.05,48.2,66,0,1.0,GL,1597627043
15,Tommot,58.96,126.29,52.03399999999999,67,94,1.84,RU,1597626527
16,Adrar,20.5,-10.07,99.98600000000008,18,0,3.42,MR,1597627031
17,Coyhaique,-45.58,-72.07,34.30400000000005,88,89,4.61,CL,1597626939
18,Cape Town,-33.93,18.42,44.6,93,100,3.6,ZA,1597626366
19,Tegul'det,57.31,88.17,60.314000000000036,95,46,1.79,RU,1597627045
20,Hithadhoo,-0.6,73.08,83.60600000000002,70,100,2.64,MV,1597626961
21,Busselton,-33.65,115.33,50.0,81,90,4.47,AU,1597626932
22,Rikitea,-23.12,-134.97,70.592,78,6,5.73,PF,1597626846
23,Arlit,18.74,7.39,89.34800000000003,39,0,2.65,NE,1597627046
24,Kapaa,22.08,-159.32,84.2,70,1,6.2,US,1597626803
25,Maragogi,-9.01,-35.22,74.174,84,83,4.25,BR,1597627046
26,Aklavik,68.22,-135.01,53.6,81,75,2.1,CA,1597627046
27,Codrington,-38.27,141.97,52.66400000000003,75,100,4.37,AU,1597627047
28,Borogontsy,62.67,131.17,59.99000000000002,36,100,1.2,RU,1597627047
29,Dikson,73.51,80.55,45.69800000000002,95,100,5.13,RU,1597627047
30,Nikolskoye,59.7,30.79,55.004000000000055,81,0,1.51,RU,1597626947
31,Chokurdakh,70.63,147.92,40.49600000000005,92,100,5.28,RU,1597626944
32,Albany,42.6,-73.97,69.00800000000001,68,14,1.5,US,1597627048
33,Kaitangata,-46.28,169.85,46.99400000000007,70,26,1.34,NZ,1597627048
34,Dalvik,65.97,-18.53,48.2,100,0,1.07,IS,1597627049
35,East London,-33.02,27.91,52.71800000000009,60,29,4.79,ZA,1597627049
36,San Patricio,19.22,-104.7,86.0,74,20,5.1,MX,1597627049
37,Pucara,-15.98,-71.46,35.582000000000015,74,7,1.67,PE,1597627049
38,São João da Barra,-21.64,-41.05,73.22000000000006,90,99,2.27,BR,1597627050
39,Saint George,37.1,-113.58,111.00200000000008,7,1,3.6,US,1597626956
40,Lakes Entrance,-37.88,147.98,60.00800000000001,71,97,1.34,AU,1597627050
41,Kurumkan,54.3,110.3,58.91000000000008,63,81,3.72,RU,1597627050
42,Bengkulu,-3.8,102.27,79.55600000000004,74,0,0.98,ID,1597626833
43,Mnogovershinnyy,53.94,139.92,51.49400000000007,98,100,2.09,RU,1597627051
44,Yellowknife,62.46,-114.35,59.0,62,75,3.1,CA,1597627051
45,Tuktoyaktuk,69.45,-133.04,51.8,87,90,2.6,CA,1597627027
46,Mataura,-46.19,168.86,50.12600000000009,61,9,1.2,NZ,1597627026
47,Lavrentiya,65.58,-171.0,54.08600000000007,65,100,3.02,RU,1597627052
48,Qaanaaq,77.48,-69.36,35.492,80,21,0.3,GL,1597627053
49,Goundam,16.41,-3.67,92.89400000000008,38,34,3.32,ML,1597627053
50,Bonfim,3.08,-59.95,78.08000000000004,85,99,1.89,BR,1597627053
51,Carnarvon,-24.87,113.63,55.400000000000006,100,90,2.6,AU,1597627053
52,Pimentel,-6.84,-79.93,61.28600000000007,87,34,6.17,PE,1597626912
53,Ushuaia,-54.8,-68.3,33.8,74,75,7.2,AR,1597626939
54,Upernavik,72.79,-56.15,40.91000000000008,69,0,0.95,GL,1597626940
55,Vaini,-21.2,-175.2,73.4,69,75,5.7,TO,1597627054
56,Salalah,17.02,54.09,75.2,100,90,2.1,OM,1597627055
57,Reconquista,-29.15,-59.65,51.62000000000006,52,0,2.68,AR,1597627055
58,Prince Rupert,54.32,-130.32,64.4,88,20,2.1,CA,1597627055
59,Sohag,26.56,31.69,82.22000000000006,22,42,3.53,EG,1597627055
60,Hermanus,-34.42,19.23,44.99600000000005,88,100,2.52,ZA,1597626959
61,Saskylakh,71.92,114.08,61.898000000000025,45,47,0.9,RU,1597627056
62,Castro,-24.79,-50.01,59.288000000000046,94,100,3.32,BR,1597627057
63,Širvintos,55.05,24.95,57.2,87,0,0.5,LT,1597627057
64,Denpasar,-8.65,115.22,78.96200000000006,83,54,4.75,ID,1597626902
65,Balkhash,46.84,74.98,73.59800000000003,37,95,7.83,KZ,1597627057
66,Severo-Kuril'sk,50.68,156.12,52.98800000000004,86,65,1.94,RU,1597627050
67,Coquimbo,-29.95,-71.34,50.0,87,0,1.5,CL,1597626791
68,Alice Springs,-23.7,133.88,78.80000000000001,19,0,7.2,AU,1597626870
69,Lar,26.2,83.97,82.16600000000001,83,100,4.62,IN,1597627059
70,Kingaroy,-26.53,151.83,60.8,44,0,5.7,AU,1597627059
71,Kemijärvi,66.71,27.43,41.86400000000003,82,43,3.13,FI,1597627059
72,Aksarka,66.56,67.8,46.72400000000001,74,96,0.47,RU,1597627059
73,Boyolangu,-8.12,111.89,77.792,82,63,3.48,ID,1597627060
74,Sonoita,31.85,-112.83,105.99800000000003,24,0,7.98,MX,1597627060
75,Sovetskiy,61.36,63.58,50.63000000000004,84,100,4.4,RU,1597627060
76,Hobart,-42.88,147.33,57.00200000000008,82,75,2.1,AU,1597626846
77,Souillac,-20.52,57.52,69.80000000000001,83,40,5.1,MU,1597627061
78,Izumo,35.37,132.77,86.0,74,40,6.2,JP,1597627061
79,Newtyle,56.56,-3.14,55.400000000000006,87,90,2.6,GB,1597627062
80,Khatanga,71.97,102.5,64.74199999999999,74,0,1.18,RU,1597627026
81,Bethel,41.37,-73.41,64.99400000000009,88,90,3.1,US,1597627047
82,Rock Springs,41.59,-109.2,82.4,8,1,2.6,US,1597627062
83,Pāsighāt,28.07,95.33,75.99199999999999,88,100,0.75,IN,1597627063
84,Ahipara,-35.17,173.17,58.51400000000004,63,44,6.84,NZ,1597627063
85,Zapolyarnyy,69.42,30.81,46.4,81,75,16.5,RU,1597627064
86,Mahébourg,-20.41,57.7,69.80000000000001,83,40,5.1,MU,1597627064
87,Kodinsk,58.69,99.18,59.55800000000001,49,71,1.43,RU,1597627064
88,Nanga Eboko,4.68,12.37,69.11600000000001,98,100,1.96,CM,1597627065
89,Jamestown,42.1,-79.24,69.00800000000001,88,40,2.6,US,1597626969
90,Kargasok,59.06,80.86,54.69800000000002,86,46,2.81,RU,1597627065
91,Chui,-33.7,-53.46,45.28399999999999,76,0,3.11,UY,1597627066
92,Palafrugell,41.92,3.16,71.99600000000005,53,0,2.26,ES,1597627066
93,Grand-Santi,4.25,-54.38,74.48000000000005,90,56,0.98,GF,1597627067
94,Husavik,66.04,-17.34,48.2,100,0,0.37,IS,1597627067
95,Tura,25.52,90.22,76.15400000000005,94,95,3.04,IN,1597627025
96,Anadyr,64.75,177.48,60.00800000000001,62,100,4.0,RU,1597627068
97,Pevek,69.7,170.31,39.92000000000006,86,100,8.9,RU,1597627068
98,Vila Franca do Campo,37.72,-25.43,73.4,88,40,6.2,PT,1597627069
99,Broken Hill,-31.95,141.43,57.2,54,0,5.7,AU,1597627069
100,Tiksi,71.69,128.87,48.110000000000085,65,0,0.9,RU,1597627037
101,Laguna,38.42,-121.42,109.4,16,1,4.6,US,1597627070
102,Arraial do Cabo,-22.97,-42.03,71.31200000000007,93,66,5.0,BR,1597627070
103,Ponta do Sol,32.67,-17.1,73.4,69,20,7.7,PT,1597627071
104,Mayo,38.89,-76.51,73.99400000000009,85,75,2.1,US,1597627071
105,Bluff,-46.6,168.33,44.18600000000007,78,50,1.59,NZ,1597627071
106,Caruray,10.31,119.01,85.58600000000007,67,100,2.64,PH,1597627072
107,Praia da Vitória,38.73,-27.07,75.2,83,40,7.86,PT,1597627072
108,Ujjain,23.18,75.77,73.4,100,90,2.6,IN,1597627072
109,Luwingu,-10.26,29.93,53.34800000000003,50,0,2.08,ZM,1597627073
110,Qingyuan,23.7,113.03,87.00800000000001,74,20,3.0,CN,1597627073
111,Berlevåg,70.86,29.09,46.36400000000003,80,100,12.87,NO,1597626954
112,Gubkinskiy,64.43,76.5,54.194000000000074,89,90,2.49,RU,1597626927
113,Mossamedes,-15.2,12.15,61.196000000000055,89,0,3.6,AO,1597627074
114,Poso,-1.4,120.75,83.39000000000001,61,26,2.19,ID,1597627074
115,Rio Grande,-32.03,-52.1,42.998000000000026,95,0,3.19,BR,1597627074
116,Loikaw,19.67,97.21,68.16200000000006,92,100,1.5,MM,1597627075
117,Ostrovnoy,68.05,39.51,44.492,86,64,8.24,RU,1597627075
118,Basco,20.45,121.97,84.39800000000002,77,96,6.39,PH,1597627075
119,Pangnirtung,66.15,-65.71,51.71000000000008,75,100,3.12,CA,1597627075
120,Churapcha,62.0,132.43,59.70200000000008,33,100,2.22,RU,1597627076
121,Longyearbyen,78.22,15.64,41.0,80,40,2.1,SJ,1597627036
122,Stephenville,32.22,-98.2,96.99800000000003,32,1,2.6,US,1597627076
123,Puerto Ayora,-0.74,-90.35,66.99199999999999,86,0,1.34,EC,1597626833
124,Hofn,64.25,-15.21,53.99600000000005,83,89,0.52,IS,1597627077
125,Butaritari,3.07,172.79,81.37400000000002,63,77,0.86,KI,1597627045
